code,stop_name,street_name,lat,lng,route
SL469,SL469 MASJID AR-RAHIMAH,JLN L/RAYA KARAK,3.232185738,101.7005705,170
SL222,SL222 TAMAN PRIMA SRI GOMBAK,L/UTAMA SRI GOMBAK,3.238024,101.699406,170;T201
SL176,SL176 DEWAN BERINGIN GOMBAK,L/UTAMA SRI GOMBAK,3.239955917,101.6994178,170;171;202;T201
SL177,SL177 FLAT PINGGIRAN,L/UTAMA SRI GOMBAK,3.250229363,101.6942894,170;171;202;BET17;T201
SL178,SL178 KG MELAYU WIRA DAMAI,LEBUH UTAMA SRI GOMBAK,3.250299,101.693129,170;171;202
SL179,SL179 KG MELAYU WIRA DAMAI,LEBUH UTAMA SRI GOMBAK,3.250272,101.691855,170;171;202;T201
SL180,SL180 APARTMENT SAUJANA,LEBUH UTAMA SRI GOMBAK,3.251327,101.688986,170;171;202;T201
SL181,SL181 PANGSAPURI KENANGA (OPP),JLN GP 2,3.251065,101.685414,170;171;202;T201
,SKPK LELAKI JLN BATU,JLN RAJA LAUT,3.159643,101.694843,171;173;180;190;202;220;250
KL47,KL47 PICOMS,JLN SULTAN AZLAN SHAH,3.170419997,101.6941562,171;173;180;190;191
KL610,KL610 IPD SENTUL,JLN SENTUL,3.174349716,101.6925361,171;180
KL2050,KL2050 FLAT SRI TERENGGANU,JLN SENTUL,3.17566429,101.6929015,171;180
,SENTUL VILLAGE,JLN SENTUL,3.203693,101.689151,171
KL1502,KL1502 SMK BATU MUDA,JLN 46/10,3.211083242,101.6891853,171
KL620,KL620 ASRAMA PUTRI DESA VIEW,JLN 46/10,3.213965,101.689181,171
,TMN KOPERASI POLIS,JLN 46/10,3.21940045,101.6892036,171
KL624,KL624 IIC/PICOMS,JLN 46/10,3.223146,101.689189,171;173
KL625,KL625 GIATMARA BATU MUDA,JLN 46/10,3.226716,101.689114,171;173
KL626,KL626 TAMAN BATU MUDA (TIMUR),JLN TAMAN BT MUDA,3.227983,101.688207,171;173
KL627,KL627 TAMAN BATU MUDA,JLN TAMAN BT MUDA,3.227896,101.686728,171;173
SL260,SL260 BT CAVES INDUSTRIAL PARK 5 (BARAT),JLN SBC 5,3.233728,101.684984,171
SL261,SL261 PERINDUSTRIAN BT CAVES,JLN SRI B CAVES 3,3.233791329,101.6877546,171
SL263,SL263 FLAT TAMAN SRI BATU,JLN SAMUDERA UTAMA,3.233232,101.691834,171
SL264,SL264 SK TAMAN SAMUDERA,JLN T SAMUDERA UTAMA,3.233190441,101.6938721,171
SL265,SL265 GIANT BT CAVES,JLN TAMAN SAMUDERA,3.235027536,101.695373,171
,CIMB,JLN BT CAVES,3.237747092,101.6995179,171
SL235,SL235 URBAN 360 (OPP),JLN MAKMUR,3.240734,101.701382,171;202;T201
SL236,SL236 PETRONAS SRI GOMBAK (OPP),JLN MAKMUR,3.240782,101.703325,171;202;T201
SL503,SL503 TAMAN SRI GOMBAK FASA 4 (BARAT),JLN MAKMUR,3.240822,101.707059,171;202;T201
SL242,SL242 KOMERSIAL SERI GOMBAK FASA 5,JLN MAKMUR,3.241993,101.709589,171;202;T201
SL243,SL243 SMK HILLCREST (OPP),JLN LINTANG,3.242916,101.707509,171;202;T201
SL244,SL244 TAMAN SRI GOMBAK FASA 3,JLN LINTANG,3.242985,101.705851,171;202
SL245,SL245 KOMERSIAL TAMAN SRI GOMBAK,JLN LINTANG,3.242964,101.703227,171;202;T201
SL199,SL199 TAMAN SRI GOMBAK FASA 6,JLN MUHIBAH,3.244748,101.702019,171;202;T201
SL505,SL505 MASJID SRI GOMBAK (OPP),JLN MUHIBBAH,3.247365,101.703085,171;202;T201
SL200,SL200 TASIK SRI GOMBAK FASA 8,JLN PERMAI,3.248616,101.705428,171;202;T201
SL201,SL201 PERUMAHAN TAMAN SRI GOMBAK (TIMUR),JLN PERMAI,3.250064,101.703258,171;202;T201
SL202,SL202 TAMAN TASIK SRI GOMBAK,JLN PERMAI,3.248729,101.701441,171;202;T201
